Nama Broker,Kode Broker,Nama Emiten,Nama Perusahaan,Tanggal,Buy Value,Buy Lot,Buy Avg,Sell Value,Sell Lot,Sell Avg,Open Price,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Persentase Selisih
MANDIRI SEKURITAS,CC,ABDA,Asuransi Bina Dana Arta Tbk.,1/29/2026,260K,1,2.6,,,,0.0,0.0,2600.0,2590.0,2590.0,-280.0,-10.81%
MANDIRI SEKURITAS,CC,ABDA,Asuransi Bina Dana Arta Tbk.,2/2/2026,3M,13,2.34,,,,0.0,0.0,2340.0,2340.0,2340.0,0.0,0.00%
BRI Danareksa Sekuritas,OD,ABDA,Asuransi Bina Dana Arta Tbk.,2/2/2026,1.2M,5,2.34,,,,0.0,0.0,2340.0,2340.0,2340.0,0.0,0.00%
MANDIRI SEKURITAS,CC,ABDA,,2/3/2026,234K,1,2.34,,,,,,,,,,
BRI Danareksa Sekuritas,OD,ABDA,,2/3/2026,,,,234K,1,2.34,,,,,,,
MANDIRI SEKURITAS,CC,ABDA,,2/4/2026,234K,1,2.34,,,,,,,,,,
BRI Danareksa Sekuritas,OD,ABDA,,2/4/2026,,,,234K,1,2.34,,,,,,,
MANDIRI SEKURITAS,CC,AIMS,Artha Mahiya Investama Tbk.,1/28/2026,20.6M,347,595,,,,595.0,595.0,595.0,595.0,595.0,-105.0,-17.65%
BNI Sekuritas,NI,AIMS,Artha Mahiya Investama Tbk.,1/28/2026,28M,471,595,,,,595.0,595.0,595.0,595.0,595.0,-105.0,-17.65%
BRI Danareksa Sekuritas,OD,AIMS,Artha Mahiya Investama Tbk.,1/28/2026,2M,34,595,,,,595.0,595.0,595.0,595.0,595.0,-105.0,-17.65%
MANDIRI SEKURITAS,CC,AIMS,Artha Mahiya Investama Tbk.,1/29/2026,271.4M,5.321,510,,,,510.0,510.0,510.0,510.0,510.0,-85.0,-16.67%
BNI Sekuritas,NI,AIMS,Artha Mahiya Investama Tbk.,1/29/2026,2.7M,53,510,,,,510.0,510.0,510.0,510.0,510.0,-85.0,-16.67%
MANDIRI SEKURITAS,CC,AIMS,Artha Mahiya Investama Tbk.,1/30/2026,260.4M,5.815,448,,,,452.0,460.0,494.0,434.0,438.0,-72.0,-16.44%
